code,name,consensus_score,n_engines,eng_wyckoff,eng_buffett,eng_can_slim,eng_volume_profile,eng_vmd_rsi,eng_verdict,has_ai,change_pct,intraday_pos,amplitude,open_strength,pe,rsi_14,macd_histogram,kdj_k,kdj_d,kdj_j,bollinger_position,vwap_deviation,volume_ratio,ma_alignment,price_vs_ma20
002475,002475,43.2,6,50.0,50.0,50.0,70.0,35.0,20.0,1,0.0,,,,,45.83639812628238,0.0,53.54,51.18,58.26,0.388,-3.19,0.57,0,
159851,159851,49.1,6,50.0,0.0,0.0,45.0,75.0,75.0,1,0.0,,,,,34.375,0.0,34.15,44.72,13.01,0.0648,-6.5,1.03,0,
